id,author,description,clean,sentiment
2108,@watonngevlog1885,otw beli starbucks mumpung ada dialfamart,otw beli starbucks mumpung ada dialfamart,neutral
2109,@tommysilalahi801,suwit suit.,suwit suit,negative
2110,@frogeming,Terus kalo itu produk Israel apa urusan nya dgn negara Indonesia emang negara kita perang ...,terus kalo itu produk israel apa urusan nya dgn negara indonesia emang negara kita perang,negative
2111,@diditbintang999,Lah trs gk d pikirkan karyawan yg kerja d perusahaan,lah trs gk pikirkan karyawan yg kerja perusahaan,negative
2112,@hasriuhasoloansilaban5094,Woi sejak kapan produk Israel!!! Hati2 kau ngomong anjing!!!!,woi sejak kapan produk israel hati kau ngomong anjing,negative
2113,@selametparkir611,"saya punya cara yg membuat zionis marah, ambil semua produk zionis, lalu berikan pada pengungsi palestin, lalu bakar depan mereka ( orang Israel) pasti dia kelimpungan kaya orang kebakaran jenggot 👍🏻👍🏻👍🏻",saya punya cara yg membuat zionis marah ambil semua produk zionis lalu berikan pada pengungsi palestin lalu bakar depan mereka orang israel pasti dia kelimpungan kaya orang kebakaran jenggot,negative
2114,@jellypotter6130,Yang perang mereka ngapain disini yang repot apa istimewanya Palestina dan apa untungnya ikut campur urusan mereka harusnya mereka tahu konsekuensinya kalau terjadi peperangan giliran di bombardir teriak teriak minta bantuan internasional,yang perang mereka ngapain disini yang repot apa istimewanya palestina dan apa untungnya ikut campur urusan mereka harusnya mereka tahu konsekuensinya kalau terjadi peperangan giliran di bombardir teriak teriak minta bantuan internasional,negative
2115,@suhayarsuhayar3844,Kalo semuanya di boikot..kaga makan apa2 dong..he.he.heee..kaga usah lah boikot boikotan..lebih baik ikut perang aja kalo mau jadi pembela😂,kalo semuanya di boikotkaga makan apa dongheheheeekaga usah lah boikot boikotanlebih baik ikut perang aja kalo mau jadi pembela,negative
2116,@dedi-wj9xb,"Cuman saran aja,,,klw bisa tutup aja pabrik2 nya biar konsumen gak bisa beli lg itu produk dan yg bilng boikot 2 harus jamin para buruh dan karyawan pabrik tersebut....",cuman saran ajaklw bisa tutup aja pabrik nya biar konsumen gak bisa beli lg itu produk dan yg bilng boikot harus jamin para buruh dan karyawan pabrik tersebut,negative
2117,@user-es7te5yk6q,"saya rasa barang"" yg anda baikod mungkin pernah anda makan sebelumnya saya rasa dosa belum hilang kecuali diri anda dihilangkan sejak sekarang😂😂😂😂😂",saya rasa barang yg anda baikod mungkin pernah anda makan sebelumnya saya rasa dosa belum hilang kecuali diri anda dihilangkan sejak sekarang,negative
2118,@user-my5nq3ni6e,Bongak itu😂😂😂,bongak itu,negative
2119,@NerroZoel-ox3nw,Memboikot produk israel untuk membantu negara palestina..tetapi karyawan pabrik produk israel terancam di PHK yang akan mematikan pencari nafkah anak istri nya..,memboikot produk israel untuk membantu negara palestinatetapi karyawan pabrik produk israel terancam di phk yang akan mematikan pencari nafkah anak istri nya,negative
2120,@rakhmanmoh3084,Apakah bisa konsisten wahai masyarakat perkotaan ? yg klo ada tetangga dak mikir,apakah bisa konsisten wahai masyarakat perkotaan yg klo ada tetangga dak mikir,negative
2121,@Rilli-vq4uy,Seharusnya momen kyk gini digunakan pemerintah untuk membuat produk lokal yang lebih bermutu dari pada produk luar,seharusnya momen kyk gini digunakan pemerintah untuk membuat produk lokal yang lebih bermutu dari pada produk luar,negative
2122,@nurulaisyah7746,"Buat para pemerintah coba di setop itu dagangan yang dari luar negeri dan perbanyak produk dari negara kita sendiri karena itu jg membantu untuk pabrik asal dari Indonesia, tinggalkan itu produk dari luar atau Israel",buat para pemerintah coba di setop itu dagangan yang dari luar negeri dan perbanyak produk dari negara kita sendiri karena itu jg membantu untuk pabrik asal dari indonesia tinggalkan itu produk dari luar atau israel,negative
2123,@spelentertainment7623,"Ayo,",ayo,positive
2124,@user-bn9ld2kn9y,"Baru tau klu kecap bangun products Israel, iyaa cocok ini ditayang Gini ,Jadi biar masyarakat tau produk mana Aja yg dukung Israel",baru tau klu kecap bangun products israel iyaa cocok ini ditayang gini jadi biar masyarakat tau produk mana aja yg dukung israel,positive
2125,@annisafebruary6556,GAK BiSA BaCA / BUTA SIH ITUK,gak bisa baca buta sih ituk,negative
2126,@alexbatraleo8799,"klo sebagian masyrakat udh setuju,klo ada phk besar""an dn banyak penganguran,jgn salahkan pemerintah lagi y.. dan saya harap semua produk nya di tarik dari pasaran,biar masyakat gak sengaja kebeli,,krna gak semua masyarakat main sosmed",klo sebagian masyrakat udh setujuklo ada phk besaran dn banyak penganguranjgn salahkan pemerintah lagi dan saya harap semua produk nya di tarik dari pasaranbiar masyakat gak sengaja kebelikrna gak semua masyarakat main sosmed,negative
2127,@detektifcilik,"AbC anti islam tuh pemilik pabriknya, boikot juga!",abc anti islam tuh pemilik pabriknya boikot juga,negative
2128,@SHangkakala22,Trus suruh makan apa bang kalau ngak di beli ? Kami sebagai pedagang bisa ngak bisa hrus kami beli buat jualan makanan,trus suruh makan apa bang kalau ngak di beli kami sebagai pedagang bisa ngak bisa hrus kami beli buat jualan makanan,negative
2129,@Echay_vaya254,Ih kan gpp di beli dihh emang nya klo kakak gak mau beli yaudah gak bikin2 video itu produk dari israel gpp gak usah peduli israel palestina israel palestina dihh maaf ya klo komen ku terlalu lebih gak baik ya❤❤❤,ih kan gpp di beli dihh emang nya klo kakak gak mau beli yaudah gak bikin video itu produk dari israel gpp gak usah peduli israel palestina israel palestina dihh maaf ya klo komen ku terlalu lebih gak baik ya,negative
2130,@tresnojoyo9485,Di desa desa kampung nggak ngaruh bro...krn bnyak yg tidak tau... Jdi yaa tetep laris...,di desa desa kampung nggak ngaruh brokrn bnyak yg tidak tau jdi yaa tetep laris,positive
2131,@jhondiki594,"Aneh tp nyata,itu lah warga Indonesia, Mudah kena doktrin.... Yg punya Chanel ini,Makai hp merek apa ya,jadi pnsrn......",aneh tp nyataitu lah warga indonesia mudah kena doktrin yg punya chanel inimakai hp merek apa yajadi pnsrn,negative
2132,@Jokerkriting,"Apapun yang kita niatkan untuk kebaikan saudara kita di palestina, sekecil apapun Allah akan balas meskipun hanya doa.",apapun yang kita niatkan untuk kebaikan saudara kita di palestina sekecil apapun allah akan balas meskipun hanya doa,positive
2133,@putraandalas_0039,Pabrik utk memproduksi nya semua di indonesia kah ? Lalu kalau di boikot bagai mana nasih ribuan pekerja nya ?????????????????????????????,pabrik utk memproduksi nya semua di indonesia kah lalu kalau di boikot bagai mana nasih ribuan pekerja nya,negative
2134,@zfn9633,"Nah itu baru betul arti boikot yg sebenarnya.. Bukan melarang prodak nya untuk di jajakan Klo nya beli banyak terus buang. Itu nama nya memborong bukan memboikot... Toh org"" yg netral dan gak pengaruh dgn boikot masih bisa beli barang itu.",nah itu baru betul arti boikot yg sebenarnya bukan melarang prodak nya untuk di jajakan klo nya beli banyak terus buang itu nama nya memborong bukan memboikot toh org yg netral dan gak pengaruh dgn boikot masih bisa beli barang itu,negative
2135,@ARS9605,Setau saya israel gk punya kerja sama dh sama indo.. Apa saya yng gk tau ajh yhh...,setau saya israel gk punya kerja sama dh sama indo apa saya yng gk tau ajh yhh,negative
2136,@isniayuningseh8081,"🙏Ana mau tanya Amunisi itu apa ,sukron",ana mau tanya amunisi itu apa sukron,neutral
2137,@hisarlubis1439,Boikot boleh....Carikan lagi kerjaan buat karyawan yg akan di PHK!!!,boikot bolehcarikan lagi kerjaan buat karyawan yg akan di phk,negative
2138,@mrpatin4168,Mohon pemerintah berperan aktif.. mncari solusi trbaik.. masyarakat butuh informasi yg jelas.. saya sngat mndukung boikot.. israel laknat... Tp sediakan jg product alternatifnya...dr mulai dri tengkulak jg jngn menyediakan,mohon pemerintah berperan aktif mncari solusi trbaik masyarakat butuh informasi yg jelas saya sngat mndukung boikot israel laknat tp sediakan jg product alternatifnyadr mulai dri tengkulak jg jngn menyediakan,neutral
2140,@jndkids,"Boikotnya tanggung cuk... Kenapa nggak boikot youtube, facebook, whatsapp, netflix, instagram, tweeter dan kawan2. Mau tertawa takut dicap kafir...",boikotnya tanggung cuk kenapa nggak boikot youtube facebook whatsapp netflix instagram tweeter dan kawan mau tertawa takut dicap kafir,negative
2141,@vetype5736,Berjuang lah semampu dan sebisamu.,berjuang lah semampu dan sebisamu,positive
2142,@aggsuprayogi4712,La kamu mau boikot masih pakai ini app kacau otak mu,la kamu mau boikot masih pakai ini app kacau otak mu,negative
2143,@SeptiHutahaean-qc3zn,sabar klu mau merdeka!!! tggu hbis dlu tambang2 di papua. baru saya kasih merdeka.,sabar klu mau merdeka tggu hbis dlu tambang di papua baru saya kasih merdeka,positive
2144,@lachimolala2909,Kenapa unilever banyak banget sih produknya 😡,kenapa unilever banyak banget sih produknya,positive
2145,@nugienazrilchannel,Mari kita boikot selamanya...,mari kita boikot selamanya,negative
2146,@muhamadibrahim5292,Kita gabisa boikot semua yg kita bisa hanya mengurangi saja saya yakin. Smngt 😊,kita gabisa boikot semua yg kita bisa hanya mengurangi saja saya yakin smngt,negative
2147,@vinogamerz9673,"Bayangkan saat kita memakai produk zionis, darah anak2 kecil Palestine mengalirr",bayangkan saat kita memakai produk zionis darah anak kecil palestine mengalirr,negative
2148,@wandishaka9667,"Aksi boikot, tpi produk masih terjual bebas. Gmna cerita....?? Bagi org2 yg tdk tau mna produk israel gmna ??",aksi boikot tpi produk masih terjual bebas gmna cerita bagi org yg tdk tau mna produk israel gmna,negative
2149,@ukhtydiana8008,Biore bkn nya produk israel jg ya,biore bkn nya produk israel jg ya,neutral
2150,@user-oq4zq3dm2v,Serius itu pabrik nya di israel bkn di indonesia. Masa indonesia cuma bikin limeneral doang.,serius itu pabrik nya di israel bkn di indonesia masa indonesia cuma bikin limeneral doang,negative
2151,@adigunawan9261,Skalian hp yg tuan pakai biar bodoh dan dhunggu,skalian hp yg tuan pakai biar bodoh dan dhunggu,negative
2152,@nuraeni668,Sy pedagang minuman Alhamdulillah pembeli sendiri yg menghindari tdk membeli Aqua dan beralih leemineral oasis...pdhl sy hnya diam tdk menganjurkan...takut ada yg kontra...pas ada yg nyeletuk sy tdk beli ini tpi nemilih leemin akhirnya sy lega trnyata sepndpt jdi semangt tdk menjual produk mereka,sy pedagang minuman alhamdulillah pembeli sendiri yg menghindari tdk membeli aqua dan beralih leemineral oasispdhl sy hnya diam tdk menganjurkantakut ada yg kontrapas ada yg nyeletuk sy tdk beli ini tpi nemilih leemin akhirnya sy lega trnyata sepndpt jdi semangt tdk menjual produk mereka,positive
2153,@babang557,"Bkn msalah gtu bang , kasian buat org yg udh mmbeli bnyak AQUA sblm peperangan (stok) eh tau²a ga ke jual , sodara gw jg udh bnyak beli leemineral , akso , sdangkan AQUA akhir\'a buat di minum pribadi , perkara boikot² bginian , hrus\'a yg stop bukan dagangan\'a / warung\'a , mlainkan pemerintah yg langsung larang barang² israel buat masuk di jual belikan , kan klo udh di tutp sma pemerintah udh psti para pedagang ga bkl beli lagi ,... Klo pemerintah\'a aja diem mw gmn di tutup ??",bkn msalah gtu bang kasian buat org yg udh mmbeli bnyak aqua sblm peperangan stok eh tau ga ke jual sodara gw jg udh bnyak beli leemineral akso sdangkan aqua akhira buat di minum pribadi perkara boikot bginian hrusa yg stop bukan dagangana warunga mlainkan pemerintah yg langsung larang barang israel buat masuk di jual belikan kan klo udh di tutp sma pemerintah udh psti para pedagang ga bkl beli lagi klo pemerintaha aja diem mw gmn di tutup,negative
2154,@julianurfitrian8793,"Kalau NU tidak ada mengeluarkan fatwa, berarti saya tetap seperti biasa saja membeli produk, karena yg kerja di pabrik makanan dan minuman serta sabun mandi tersebut rakyat Indonesia yang muslim juga",kalau nu tidak ada mengeluarkan fatwa berarti saya tetap seperti biasa saja membeli produk karena yg kerja di pabrik makanan dan minuman serta sabun mandi tersebut rakyat indonesia yang muslim juga,negative
2155,@assalam211,"Tenang bro.. warung tidak akan menyediakan jika tidak ad konsumen/warga sekitar ny yg beli suatu prodak. Mengapa prodak Unilever..coca cola,dkk paling byk diwarung krn buaaanyak yang cari. Coba gk ad yang beli pastilah pemilik warung gk nyediain prodak mereka.. jika banyak yang gk nyetok disales mereka jelas perusahaan importir mereka anjlok dan uring uringan ngeimpor prodak pendukung zionis tsb. Jadi tak usahalah mengharap pemerintah bergerak sebab pemerintah cari cuannya dri proses impor n ekspor.",tenang bro warung tidak akan menyediakan jika tidak ad konsumenwarga sekitar ny yg beli suatu prodak mengapa prodak unilevercoca coladkk paling byk diwarung krn buaaanyak yang cari coba gk ad yang beli pastilah pemilik warung gk nyediain prodak mereka jika banyak yang gk nyetok disales mereka jelas perusahaan importir mereka anjlok dan uring uringan ngeimpor prodak pendukung zionis tsb jadi tak usahalah mengharap pemerintah bergerak sebab pemerintah cari cuannya dri proses impor ekspor,negative
2156,@user-hs5if8xx2o,"Produk dari siapapun,selagi itu bermanfaat dan berkualitas tetap dipakek aja.",produk dari siapapunselagi itu bermanfaat dan berkualitas tetap dipakek aja,positive
2157,@robinrob1893,"bermanfaat buat bunuh orang ya, hebat",bermanfaat buat bunuh orang ya hebat,positive
2158,@yusepandikusuma4842,"Munafik,nanggung...sekalian HP nya jgn dipake...aplikasi youtube yg ente pake...komputer... Malu2 in aja ente..😅",munafiknanggungsekalian hp nya jgn dipakeaplikasi youtube yg ente pakekomputer malu in aja ente,negative
2159,@juwitabrmeliala3175,😂😂😂 lebai x ahh,lebai ahh,negative
2160,@Be7LinTOBING,Semua produk ABC terafiliasi dengan Produk Israel karena sahamnya 65% sudah di beli oleh H.J.Heinz Company asal Amerika Serikat. SEMOGA INFORMASI INI BERMANFAAT..,semua produk abc terafiliasi dengan produk israel karena sahamnya sudah di beli oleh hjheinz company asal amerika serikat semoga informasi ini bermanfaat,neutral
2161,@rimbaputradewa8429,Berarti boikot produk amerika dan negara nato juga dong yg mendukung israel...,berarti boikot produk amerika dan negara nato juga dong yg mendukung israel,negative
2162,@danistradline8955,"Yutub yg lu pake jg produk israel... IG yg lu oake buat share foto2 estetik lu jg produk israel, dan hp yg lu pake sehari hari jg produk israel... Boykot sklian klo emank lu serius mau boykot produk israel.... Berani ???",yutub yg lu pake jg produk israel ig yg lu oake buat share foto estetik lu jg produk israel dan hp yg lu pake sehari hari jg produk israel boykot sklian klo emank lu serius mau boykot produk israel berani,neutral
2163,@user-lt7fs8gd6j,"​@@danistradline8955kata siapa YouTube sama ig punya Israel dek,, sekolah yang bener geh",siapa youtube sama ig punya israel dek sekolah yang bener geh,negative
2164,@user-yi6lu7wf9g,​@@danistradline8955info dri mana ? 😂😂,dri mana,neutral
2165,@suryaramadhana287,"​@@danistradline8955gas hp china,pake tiktok, telegram, x ga usah pake prduk israel, boykot israel",hp chinapake tiktok telegram ga usah pake prduk israel boykot israel,negative
2166,@riyanmandatory8580,Gass pooollll boikot,gass pooollll boikot,negative
2167,@muhammadfadly7362,Le minerale jg kontribusi ke Israel ga tuh .??,le minerale jg kontribusi ke israel ga tuh,neutral
2168,@ademayem4515,Uang dari penjualan produknya y buat bayar karyawan mereka.masa buat beli amunisi 😁. #Freefalastine,uang dari penjualan produknya buat bayar karyawan merekamasa buat beli amunisi freefalastine,neutral
2169,@user-tt5jm5cu8v,Ide bgs,ide bgs,positive
2170,@Najmussaqiah,"ikut boikot, israel kejam sekali",ikut boikot israel kejam sekali,negative
2171,@Najmussaqiah,kami sdh ikut tak membeli... ikut perintah MUI,kami sdh ikut tak membeli ikut perintah mui,neutral
2172,@user-wg5yn6rc4z,Gass bikot,gass bikot,negative
2173,@caliefexp,israel baikont,israel baikont,positive
2174,@sutrisnotrisno6713,Ayo trs boikot perusahaan yg terafiliasi dgn israel..rasudi aku kon tuku..yg gak suka ada boikot ya paling yg mendukung israel..,ayo trs boikot perusahaan yg terafiliasi dgn israelrasudi aku kon tukuyg gak suka ada boikot ya paling yg mendukung israel,negative
2175,@user-iq5mn1vu6q,Semoga saya cepat nikah dan punya anak dan bisa bahagia terus masuk surga bersama keluarga dan keturunan..serta hari ini dapat uang satu juta trelioner....😢😢😢😢,semoga saya cepat nikah dan punya anak dan bisa bahagia terus masuk surga bersama keluarga dan keturunanserta hari ini dapat uang satu juta trelioner,positive
2176,@AnkYou-bx7vw,"Boleh boykot, tpi bayarin dulu,borong,.. dah tuh serah mau di bakar mau di buang,. Ksian pdagan pke modal lho.. boykot kok dari bawah? Nani nani ?? ✌😅",boleh boykot tpi bayarin duluborong dah tuh serah mau di bakar mau di buang ksian pdagan pke modal lho boykot kok dari bawah nani nani,negative
2177,@Lammmborghini,Stres lu,stres lu,negative
2178,@apanadaffaliddoxx9397,Barodo teing ah loba aturanteh,barodo teing ah loba aturanteh,negative
2179,@ferilsatria7422,"ya gini lah contoh2 orang2 goblok,, miris gw liat nya,, bodoh nya orang indonesia gampang banget di goblok2in dan di doktrin, makanya kaga bakalan bisa maju , kalo emang lo pro palestin beli tiket terbang ke sono, ngapain ngerusak bahan pokok dlm negeri. mikir woii lo beli produk yg di boikot ,trs duit nya lo kira buat supplay amunisi dan senjata buat perang, woiii orng2 tolol, buat gaji karyawan dll indo tiap produk aja masih minus mikir nya dah yg lain2 aja, mikir tolol sekolah makanya, logika yg di pakai .",ya gini lah contoh orang goblok miris gw liat nya bodoh nya orang indonesia gampang banget di goblok in dan di doktrin makanya kaga bakalan bisa maju kalo emang lo pro palestin beli tiket terbang ke sono ngapain ngerusak bahan pokok dlm negeri mikir woii lo beli produk yg di boikot trs duit nya lo kira buat supplay amunisi dan senjata buat perang woiii orng tolol buat gaji karyawan dll indo tiap produk aja masih minus mikir nya dah yg lain aja mikir tolol sekolah makanya logika yg di pakai,negative
2180,@almazdabovsky9677,"Le minerale juga, kita air isi ulang lokal saja❤🤣👍",le minerale juga kita air isi ulang lokal saja,neutral
2181,@Masjowi,Tolong toa mejid... Tu yg buat org kristen,tolong toa mejid tu yg buat org kristen,negative
2182,@petanisolondomo4390,"Seharus e ya perusahaan nya saja yang ditutup.. Yang sudah diedarkan ya biarkan saja dibeli habiskan stok... Biar tidak merugikan toko"" kecil yang sudah nyetok dagangan...",seharus ya perusahaan nya saja yang ditutup yang sudah diedarkan ya biarkan saja dibeli habiskan stok biar tidak merugikan toko kecil yang sudah nyetok dagangan,negative
2183,@akilahaz-zahra8542,Siap boycot yahudi produk,siap boycot yahudi produk,positive
2184,@STolivia3017,Woy abc tak boleh ma,woy abc tak boleh ma,negative
2185,@nofitasari4300,Sekalian medsos produk israel yahudi di boikot,sekalian medsos produk israel yahudi di boikot,negative
2186,@bontaitina940,"bukn maslah boikot nya syaa warung kecil sdh terlanjur beli apakah mui memikirkan ,nnti kelar perang mui dpat cuan lagi di sgok sma produk israel kembali halal gak ush lah haram2",bukn maslah boikot nya syaa warung kecil sdh terlanjur beli apakah mui memikirkan nnti kelar perang mui dpat cuan lagi di sgok sma produk israel kembali halal gak ush lah haram,negative
2187,@mustakim-xd6ro,Product lokal juga bagus kok.. Ayo pruduct2 lokal Bangkitt..,product lokal juga bagus kok ayo pruduct lokal bangkitt,positive
2188,@toxicsugesti2883,"kalo boikot kok nanggung nanggung ya.. yg produk tertera sangat menggebu gebu memboikot, tp asli yg paling banyak bantu tu zionis, google, youtube, Microsoft, iphone. dn lain lain.. jd kalo masih make yg bantu zionis haram kan.. nah haram deh tu yg tidak di boikot tp bantu zionis kan.. bijak lah wahai saudara ku",kalo boikot kok nanggung nanggung ya yg produk tertera sangat menggebu gebu memboikot tp asli yg paling banyak bantu tu zionis google youtube microsoft iphone dn lain lain jd kalo masih make yg bantu zionis haram kan nah haram deh tu yg tidak di boikot tp bantu zionis kan bijak lah wahai saudara ku,negative
2189,@riskidestrian9725,"Saya jd bingung boss, di rumah ustad tempat saya belajar kebetulan produk2 tsb banyak di pakai sama di rumah saya jg.....trus klo kita boikot pabrik2nya tutup lantas karyawan2 nya yg mayorutas jg muslim jd pengangguran...lalu memberi makan keluarga\'nya gimana ya boss?...apa si boss mau tanggung biaya hidup mrk???",saya jd bingung boss di rumah ustad tempat saya belajar kebetulan produk tsb banyak di pakai sama di rumah saya jgtrus klo kita boikot pabrik nya tutup lantas karyawan nya yg mayorutas jg muslim jd pengangguranlalu memberi makan keluarganya gimana ya bossapa si boss mau tanggung biaya hidup mrk,negative
2190,@toxicsugesti2883,"setuju boikot tp barang yg masih di toko di indonesia itu klo di matiin mereka yg rugi.. krn itu barang udah mereka punya.. jd bijak nya tu habiskan stok nya dan tidak stok produk itu lg.. itu yg bijak.. tolong mengerti juga cara dagang kalo mau boikot² gtu. krn pedagang kita juga nanti kena imbas nya.. padahal itu kan sudah trlanjur di beli toh uang nya jg mungkin adah masuk u bantu zionis.. jd yg benernya tu beli aja stok yg ada krn supaya tdk merugikan pedagang kita, lalu jgn stok produk yg bersangkutan itu lg.. dan pemerintah berperan u tidak memasuk an produk itu.. kalo pun pemerintah tidak membantu boikod setidak nya pedagang atau toko yg stok produk itu berhenti stok produk itu.. beres itu yg bijak dr segala sisi",setuju boikot tp barang yg masih di toko di indonesia itu klo di matiin mereka yg rugi krn itu barang udah mereka punya jd bijak nya tu habiskan stok nya dan tidak stok produk itu lg itu yg bijak tolong mengerti juga cara dagang kalo mau boikot gtu krn pedagang kita juga nanti kena imbas nya padahal itu kan sudah trlanjur di beli toh uang nya jg mungkin adah masuk bantu zionis jd yg benernya tu beli aja stok yg ada krn supaya tdk merugikan pedagang kita lalu jgn stok produk yg bersangkutan itu lg dan pemerintah berperan tidak memasuk an produk itu kalo pun pemerintah tidak membantu boikod setidak nya pedagang atau toko yg stok produk itu berhenti stok produk itu beres itu yg bijak dr segala sisi,negative
2191,@donwehong7099,Sebegitu bencinya . Smp produk makanan yg tdk salah di boikot. Apa tuhan menyuruh tindakan seperti itu ? 😵😵,sebegitu bencinya smp produk makanan yg tdk salah di boikot apa tuhan menyuruh tindakan seperti itu,negative
2192,@sayatidakpeduli7598,Pemerintah juga boikot produk amerika Dan beli ke rusia,pemerintah juga boikot produk amerika dan beli ke rusia,neutral
2193,@eddyboys5881,Sejak kapan israel produksi barang2 yg kalian boikot,sejak kapan israel produksi barang yg kalian boikot,negative
2194,@eddyboys5881,Boikot juga tu FB gogle.... Jangan d pakai2 lagi,boikot juga tu fb gogle jangan pakai lagi,negative
2195,@fakerz3796,cara bisa tau produk israel apa bukan gimana ya?,cara bisa tau produk israel apa bukan gimana ya,neutral
2196,@user-ne9tz5wf5m,Hp juga di boikot,hp juga di boikot,negative
2197,@posaidon2598,boikot kok pas ad kejadian wahai orang indonesia 😂😂😂 mata kalian dimana,boikot kok pas ad kejadian wahai orang indonesia mata kalian dimana,negative
2198,@henryadisti3855,"Yang bilang nanti ada phk gmn kan yg kerja orang kita juga wkwkwkw itu framing zionis pesek, nih temen gw yang kerja di pt itu ajah udah siap dan seneng banget kalo pt nya bangkrut sekalian, gw tanya kenapa bro? Dia jawab yaelah laku kagak laku gaji gw juga segitu aje lagian rezeki gak kemana kalo pt zionis bangkrut kan ada pesaingnya yang srflus otomatis ntar juga buka lowongan jadi kagak usah takut, gw lebih takut kalo yang gw lakuin berkepanjangan justru tangan gw yang cari rezeki jadi penyambung pembantaian saudara gw di sana",yang bilang nanti ada phk gmn kan yg kerja orang kita juga wkwkwkw itu framing zionis pesek nih temen gw yang kerja di pt itu ajah udah siap dan seneng banget kalo pt nya bangkrut sekalian gw tanya kenapa bro dia jawab yaelah laku kagak laku gaji gw juga segitu aje lagian rezeki gak kemana kalo pt zionis bangkrut kan ada pesaingnya yang srflus otomatis ntar juga buka lowongan jadi kagak usah takut gw lebih takut kalo yang gw lakuin berkepanjangan justru tangan gw yang cari rezeki jadi penyambung pembantaian saudara gw di sana,negative
2199,@supriyadis2695,Mari kita dukung semua umat muslim untuk palestina...jangan beli prodak Israel hukum dalam MUI sudah jelas ❤❤❤,mari kita dukung semua umat muslim untuk palestinajangan beli prodak israel hukum dalam mui sudah jelas,negative
2200,@user-qx1yp3pc8m,Negara Konoha Emang lucu Tolol dan goblok,negara konoha emang lucu tolol dan goblok,negative
2201,@Free_Palestine166,Lu sendiri lah,lu sendiri lah,negative
2202,@EddiBaho,G bakalan nguruh buat israel,bakalan nguruh buat israel,negative
2203,@arifsamsul4681,"Ga gini gini juga kali bro, ngeri gua sama orang yang bilang boikot, gua juga sama muslim, tapi jangan gini"" amat lah, makanan produk ini gatau apa"" kenapa kalian boikot...boikot aja perut lo sekalian kesel gua",ga gini gini juga kali bro ngeri gua sama orang yang bilang boikot gua juga sama muslim tapi jangan gini amat lah makanan produk ini gatau apa kenapa kalian boikotboikot aja perut lo sekalian kesel gua,negative
2204,@Putra_editor89,"Pemerintahan nya tidak bisa berkerja,cara mengambil tindakan nya kurang baik,ini sama saja membuat pedagang kecil makin susah, ambil tindakan itu bukan di pemasaran nya tapi di manah barang2 itu kan di proses dan di kirim bukan sudah sampai di konsumen baru di stop 1 kata TOLOL..",pemerintahan nya tidak bisa berkerjacara mengambil tindakan nya kurang baikini sama saja membuat pedagang kecil makin susah ambil tindakan itu bukan di pemasaran nya tapi di manah barang itu kan di proses dan di kirim bukan sudah sampai di konsumen baru di stop kata tolol,negative
2205,@omondo4281,Dikasih harga cabe selangit aja pada ngejerit masih aneh aneh,dikasih harga cabe selangit aja pada ngejerit masih aneh aneh,negative
2206,@mahmudi8372,"musnahkan,jangan sampe akibat boikot lallu banyak produk israel yg di stok pas udh dicabut boikotnya diedarkan lagi saat sudah kadaluarsa,badan pom harus bertindak",musnahkanjangan sampe akibat boikot lallu banyak produk israel yg di stok pas udh dicabut boikotnya diedarkan lagi saat sudah kadaluarsabadan pom harus bertindak,negative
2207,@user-yl4cg3uk6p,"Gue udah lama ganti akua jadi air biru, ganti teh jd tejus, ganti sunlite jd si mama, sbun cair jd give, selebihnya belom",gue udah lama ganti akua jadi air biru ganti teh jd tejus ganti sunlite jd si mama sbun cair jd give selebihnya belom,neutral
2208,@nuraji725,Kok Hampir isi semua warung produk,kok hampir isi semua warung produk,negative
2209,@retnoretno7122,Hrusnya pemerintah itu setop brang ISRAEL. Ini udh di toko2 mlh di baikot kn kasiyn yg punya toko dn warung2 jdi GK di beli rugi lah nanti.,hrusnya pemerintah itu setop brang israel ini udh di toko mlh di baikot kn kasiyn yg punya toko dn warung jdi gk di beli rugi lah nanti,negative
2210,@antraspiston,Konten pembodohan...!!,konten pembodohan,negative
2211,@mistergalau3658,"berani boikot produk mknn  minuman tapi tdk berani Boikot Android, Google, IG, Youtube, WhatsApp, FB dasar kaum MUNAFIK",berani boikot produk mknn minuman tapi tdk berani boikot android google ig youtube whatsapp fb dasar kaum munafik,negative
2212,@WiJoyo-tz4pb,"Boikot aja, tapi tenaga kerja orang indonesia. Kalo tenaga kerja yg islam di pabrik yg di boikot apa akan di bantu makan keluarganya ya gak mungkin. Tq",boikot aja tapi tenaga kerja orang indonesia kalo tenaga kerja yg islam di pabrik yg di boikot apa akan di bantu makan keluarganya ya gak mungkin tq,negative
2213,@saputraegi9053,"Kalau mau boikot sumua barang jangan di jual,,, barang dr israel jangan di pasarkan",kalau mau boikot sumua barang jangan di jual barang dr israel jangan di pasarkan,negative
2214,@tryjaluatmojo1158,boikot gampang.. adakah pemerintah mencari solusi sebagai ganti?,boikot gampang adakah pemerintah mencari solusi sebagai ganti,negative
2215,@azizfajar9207,"Enak ya yang mengharamkan boikot , gajinya ditanggung pemerintah... 😂Sini tuh nyari uang dapetnya umr ngga ada jaminan...",enak ya yang mengharamkan boikot gajinya ditanggung pemerintah sini tuh nyari uang dapetnya umr ngga ada jaminan,negative
2216,@wahyuputra346,"Untuk mobil, motor, handphone....itu termasuk produk mana....kok gk ada yg di boikot / fatwa jangan pakai semua apapun yg dari israel /pendukung israel....",untuk mobil motor handphoneitu termasuk produk manakok gk ada yg di boikot fatwa jangan pakai semua apapun yg dari israel pendukung israel,negative
